Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm_link,-0.0029386,-0.0006128,0.036666,0,0,0,0.2179,0.00066022,-2.5411E-06,2.4318E-05,0.0004381,4.5375E-05,0.00029633,0,0,0,0,0,0,package://vv/meshes/palm_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/palm_link.STL,,_X2_65E068079898_X0_-1,palm_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger1_link1,0.0077866,-0.0015915,0.0021115,0,0,0,0.0075,3.7774E-07,-1.5296E-08,-7.9605E-08,4.5047E-07,-7.7314E-09,4.0193E-07,0,0,0,0,0,0,package://vv/meshes/finger1_link1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger1_link1.STL,,_X2_5DE6624B_X0_CMC_X2_8FDE63A54EF6_X0_-1/_X2_5DE6624B_X0_CMC_X2_8FDE63A54EF6_X0__1-1,f1l1,f1j1,finger1_joint1,revolute,0.0085244,-0.020575,0.028712,0.38179,-0.2259,-0.92978,palm_link,0,0,-1,0.6,8.587,-1.6508,0.0448,,,,,,,,
finger1_link2,0.015665,0.0011444,2.8617E-05,0,0,0,0.0248,1.1847E-06,2.639E-08,-1.9577E-08,4.7918E-06,-3.0153E-08,4.8942E-06,0,0,0,0,0,0,package://vv/meshes/finger1_link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger1_link2.STL,,_X2_87178F6E87176746_X0_IP_1_3-1,f1l2,f1j2,finger1_joint2,revolute,0.014132,-0.0047549,0.0060191,-1.6442,-0.32223,-0.53456,finger1_link1,0,0,-1,0.6,11.1,-0.1659,0.9339,,,,,,,,
finger1_link3,0.013057,-0.0011233,1.7104E-05,0,0,0,0.0165,9.7983E-07,-4.8256E-08,2.8279E-09,3.1725E-06,-5.5362E-11,3.1014E-06,0,0,0,0,0,0,package://vv/meshes/finger1_link3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger1_link3.STL,,UJ.WJ.AA.0005-1,f1l3,f1j3,finger1_joint3,revolute,0.034664,0.00018873,0.0009916,1.909,-6.6317E-05,-0.052012,finger1_link2,0,0,1,0.3,12.863,-0.4932,1.6272,,,,,,,,
finger1_link4,0.0082112,-0.0011922,-0.00023586,0,0,0,0.0165,6.2056E-07,-1.5552E-08,2.78E-09,1.0613E-06,-4.1371E-10,1.0896E-06,0,0,0,0,0,0,package://vv/meshes/finger1_link4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger1_link4.STL,,IP_thumb-1,f1l4,f1j4,finger1_joint4,revolute,0.0295,0,0.00025125,0,0,0,finger1_link3,0,0,1,0.3,13.579,-0.4932,1.6272,,,,,,,,
finger1_tip_link,-0.0041779,-0.00018195,-7.9626E-06,0,0,0,0.004,4.8332E-07,2.015E-08,-3.722E-12,5.4735E-07,1.4833E-11,5.4481E-07,0,0,0,0,0,0,package://vv/meshes/finger1_tip_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger1_tip_link.STL,,fingertip_thumb-1,f1_l_tip,f1_j_tip,finger1_tip_fixed,fixed,0.0283,-0.0010446,-0.00024656,0,0,0,finger1_link4,0,0,0,100,10,-0.5236,0.5236,,,,,,,,
finger2_link1,8.5597E-09,0.0013292,0.00031986,0,0,0,0.0032,6.6291E-08,2.8907E-13,2.0012E-14,7.6187E-08,2.3233E-08,7.0732E-08,0,0,0,0,0,0,package://vv/meshes/finger2_link1.STL,0.31765,0.24706,0.20784,1,0,0,0,0,0,0,package://vv/meshes/finger2_link1.STL,,MCP_joint_index-1,Origin_finger2_joint1,f2j1,finger2_joint1,revolute,-0.0058701,-0.029434,0.091917,-0.071558,-0.11043,1.7969,palm_link,1,0,0,1,8.203,-0.32695,1.636,,,,,,,,
finger2_link2,0.020911,4.1956E-07,-0.0061576,0,0,0,0.033,1.6351E-06,-4.5296E-10,-2.9306E-07,1.1709E-05,4.685E-11,1.1667E-05,0,0,0,0,0,0,package://vv/meshes/finger2_link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger2_link2.STL,,_X2_87178F6E87176746_X0_IP-1,f2l2,f2j2,finger2_joint2,revolute,0,-0.0022,0.004,1.5708,-1.5708,0,finger2_link1,0,0,1,0.2,8.1158,-0.495,0.495,,,,,,,,
finger2_link3,0.015762,-0.0011212,4.4346E-06,0,0,0,0.0165,1.2547E-07,9.7115E-09,3.5406E-10,4.1467E-07,-5.2912E-12,4.0546E-07,0,0,0,0,0,0,package://vv/meshes/finger2_link3.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://vv/meshes/finger2_link3.STL,,_X2_87178F6E87176746_X0_IP_1-1,f2l3,f2j3,finger2_joint3,revolute,0.043618,0,-0.00475,1.5705,0,0,finger2_link2,0,0,-1,0,0,-1.6272,0.4932,,,,,,,,
finger2_link4,0.0053515,-0.0008941,1.728E-05,0,0,0,0.014,3.1641E-07,1.2437E-08,6.7383E-10,3.8841E-07,6.4931E-11,2.7389E-07,0,0,0,0,0,0,package://vv/meshes/finger2_link4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://vv/meshes/finger2_link4.STL,,tipmount_index-1,f2l4,f2j4,finger2_joint4,revolute,0.0295,0,0,0,0,0,finger2_link3,0,0,-1,0,0,-1.6272,0.4932,,,,,,,,
