Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm_link,-0.0029795,0.00045572,0.036654,0,0,0,0.2179,0.00021637,3.9165E-06,1.0657E-05,0.0001461,-1.0223E-05,9.3156E-05,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/palm_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/palm_link.STL,,_X2_65E068079898_X0_-1,palm_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger1_link1,-0.0024628,-0.0014428,0.0077802,0,0,0,0.0075,1.4319E-07,-7.6048E-09,-1.812E-10,1.307E-07,1.7145E-08,1.0259E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link1.STL,,_X2_53F3624B_X0_CMC_X2_4E004E8C8F748FDE63A54EF6673A52A07248_X0_ _v29-1,finger1_link1,finger1_joint1,finger1_joint1,revolute,0.0085244,0.020575,0.028712,-1.328,-0.37161,-0.7307,palm_link,0,-1,0,0.6,8.587,-1.6508,0.0448,,,,,,,,
finger1_link2,0.0011196,-1.2405E-05,0.015663,0,0,0,0.0248,1.6585E-06,1.071E-08,1.0344E-08,1.694E-06,1.058E-08,4.1017E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link2.STL,,_X2_87178F6E87176746_X0_IP_1_3_1-1,finger1_link2,finger1_joint2,finger1_joint2,revolute,-0.0047549,-0.0060191,0.014132,-0.57428,-0.23677,1.8034,finger1_link1,0,1,0,0.6,11.1,-0.9339,0.1659,,,,,,,,
finger1_link3,-0.0011235,-1.579E-05,0.013056,0,0,0,0.0165,1.0981E-06,1.7603E-11,-1.669E-08,1.0736E-06,-9.86E-10,3.3917E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link3.STL,,UJ.WJ.AA.0005-1,finger1_link3,finger1_joint3,finger1_joint3,revolute,0.00018873,-0.0009916,0.034664,0.049049,0.017311,-1.9085,finger1_link2,0,1,0,0.3,12.863,-0.4932,1.6272,,,,,,,,
finger1_link4,-0.0011922,0.00023589,0.0082118,0,0,0,0.0165,3.6732E-07,1.4236E-10,-5.3805E-09,3.7712E-07,-9.5967E-10,2.1481E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_link4.STL,,IP_thumb-1,finger1_link4,finger1_joint4,finger1_joint4,revolute,0,-0.00025,0.0295,0,0,0,finger1_link3,0,1,0,0.3,13.579,-0.4932,1.6272,,,,,,,,
finger1_tip_link,-0.00018237,-3.9481E-06,-0.0041777,0,0,0,0.004,1.8943E-07,4.6143E-11,6.9369E-09,1.8859E-07,4.42E-10,1.6733E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_tip_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger1_tip_link.STL,,fingertip_thumb-1,finger1_tip_link,finger1_tip_fixed,finger1_tip_fixed,fixed,-0.0011048,0.00023218,0.0283,0,0,0,finger1_link4,0,0,0,100,10,0,0,,,,,,,,
finger2_link1,-0.0013291,-3.2911E-08,0.00031987,0,0,0,0.0032,2.6373E-08,-3.9697E-14,-8.0422E-09,2.2948E-08,-2.4125E-13,2.4484E-08,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link1.STL,,MCP_joint_index-1,finger2_link1,finger2_joint1,finger2_joint1,revolute,-0.0058701,0.029434,0.091917,-0.11071,-0.071139,-0.21822,palm_link,0,1,0,1,8.203,-0.32695,1.636,,,,,,,,
finger2_link2,-0.0061577,-4.1189E-07,0.020911,0,0,0,0.033,4.0385E-06,-1.83E-11,-1.0142E-07,4.0532E-06,1.4532E-10,5.6602E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link2.STL,,_X2_87178F6E87176746_X0_IP-1,finger2_link2,finger2_joint2,finger2_joint2,revolute,0.0022,0,0.004,0,0,0,finger2_link1,-1,0,0,0.2,8.1158,-0.495,0.495,,,,,,,,
finger2_link3,-0.0011668,4.1873E-06,0.026893,0,0,0,0.0165,1.3423E-06,-6.5257E-13,3.4631E-08,1.3154E-06,8.8937E-10,5.0263E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link3.STL,,_X2_87178F6E87176746_X0_IP_1-1,finger2_link3,finger2_joint3,finger2_joint3,revolute,-0.0047503,0,0.043618,0,0,-0.00026861,finger2_link2,0,-1,0,0.3,12.863,-1.6272,0.4932,,,,,,,,
finger2_link4,-0.00089438,1.7042E-05,0.0053518,0,0,0,0.014,1.3443E-07,2.4169E-11,4.3016E-09,9.4805E-08,2.2966E-10,1.0952E-07,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pkg_model_right_hand/meshes/finger2_link4.STL,,tipmount_index-1,finger2_link4,finger2_joint4,finger2_joint4,revolute,0,0,0.0295,0,0,0,finger2_link3,0,-1,0,0.3,13.579,-1.6272,0.4932,,,,,,,,
